"subject" "activity" "mean" "std"
"1" 1 "standing" -0.616973401597861 0.588597672314509
"2" 1 "standing" -0.647452647823529 0.535919132370063
"3" 1 "standing" -0.652025983711765 0.52997438810499
"4" 1 "standing" -0.657534953336756 0.532444199278966
"5" 1 "standing" -0.654057956196078 0.533657624298974
"6" 1 "standing" -0.659554030525312 0.532248592816158
"7" 1 "standing" -0.645116775069519 0.53565673190081
"8" 1 "standing" -0.645325383887504 0.535450489791814
"9" 1 "standing" -0.641482099815508 0.539961296555247
"10" 1 "standing" -0.647290997762888 0.523756357116073
"11" 1 "standing" -0.644086386082888 0.53162090539876
"12" 1 "standing" -0.658825698502317 0.538804485611698
"13" 1 "standing" -0.654020403976524 0.542897492203905
"14" 1 "standing" -0.653875139931551 0.547634638062761
"15" 1 "standing" -0.60943354542139 0.558989320693267
"16" 1 "standing" -0.640511321434046 0.555611612698438
"17" 1 "standing" -0.653508930552941 0.53760786801534
"18" 1 "standing" -0.653391669550089 0.533196866545128
"19" 1 "standing" -0.655448835994474 0.54330706344489
"20" 1 "standing" -0.645527588281462 0.555186826371533
"21" 1 "standing" -0.65609994263066 0.55154645632626
"22" 1 "standing" -0.654135769801783 0.562833400033617
"23" 1 "standing" -0.651505895317469 0.552812555858973
"24" 1 "standing" -0.659999789363633 0.544871657712141
"25" 1 "standing" -0.65056776896369 0.548991375059471
"26" 1 "standing" -0.644122114043494 0.553975798884094
"27" 1 "standing" -0.640787210232781 0.567724950633311
"28" 1 "sitting" -0.570213357480927 0.545480587120041
"29" 1 "sitting" -0.625172535675936 0.565282399359474
"30" 1 "sitting" -0.637487907064171 0.552927813737582
"31" 1 "sitting" -0.559968098207487 0.515393889016589
"32" 1 "sitting" -0.528745131451961 0.5275031161899
"33" 1 "sitting" -0.556676454634403 0.545021079062719
"34" 1 "sitting" -0.633179913416043 0.542316859701085
"35" 1 "sitting" -0.631428602746702 0.565257219612126
"36" 1 "sitting" -0.645136656863993 0.557757529544457
"37" 1 "sitting" -0.646204836351961 0.550816672387583
"38" 1 "sitting" -0.651208955461854 0.545716166173237
"39" 1 "sitting" -0.612689181286453 0.550884241418409
"40" 1 "sitting" -0.629372220849376 0.538692936898469
"41" 1 "sitting" -0.638599739738164 0.543834994524077
"42" 1 "sitting" -0.647367776978431 0.539348645725956
"43" 1 "sitting" -0.647291931333868 0.537302887539045
"44" 1 "sitting" -0.641141104321693 0.548735777917751
"45" 1 "sitting" -0.640233389382709 0.548163880611422
"46" 1 "sitting" -0.651022219299822 0.53813919887497
